OBCINA,category,deals_count,avg_price_m2,median_price_m2
AJDOVŠČINA,apartment,28.0,2796.8874508109475,2715.541791655153
ANKARAN,apartment,11.0,5347.543917089993,5300.353356890459
APAČE,apartment,3.0,1247.8558903236092,1112.1951219512196
BENEDIKT,apartment,5.0,2124.4673261961057,1967.2131147540983
BLED,apartment,16.0,4234.469753808431,4052.0131504180536
BLOKE,apartment,1.0,892.0704845814978,892.0704845814978
BOHINJ,apartment,7.0,4353.97049350637,4729.411764705882
BOROVNICA,apartment,4.0,4223.524912950122,4383.780332056194
BOVEC,apartment,10.0,4092.108318132326,3498.515901060071
BRASLOVČE,apartment,1.0,2166.0649819494583,2166.0649819494583
BRDA,apartment,3.0,2211.854244922397,2152.577319587629
BREZOVICA,apartment,1.0,698.6857142857142,698.6857142857142
BREŽICE,apartment,19.0,2570.6079604467895,2513.089005235603
CELJE,apartment,269.0,2649.1731672790957,2777.988614800759
CERKLJE NA GORENJSKEM,apartment,9.0,3901.3439935108395,3717.7280550774526
CERKNICA,apartment,10.0,2129.0264554034607,2189.922480620155
CERKNO,apartment,3.0,1921.0114878126174,1789.8832684824904
CERKVENJAK,apartment,26.0,2500.7314522204465,2487.038216560509
DIVAČA,apartment,9.0,1950.8809786511615,1604.2780748663101
DOBREPOLJE,apartment,2.0,2250.859191008363,2250.859191008363
DOBRNA,apartment,7.0,2288.601872781713,2218.1146025877997
DOL PRI LJUBLJANI,apartment,5.0,3283.546343757067,3590.551181102362
DOLENJSKE TOPLICE,apartment,3.0,2779.2488345761353,2696.629213483146
DOMŽALE,apartment,66.0,3719.3536307303943,3958.9311028369416
DOMŽALE,house,1.0,5492.227979274611,5492.227979274611
DRAVOGRAD,apartment,23.0,1509.8130091412738,1569.7074010327021
DUPLEK,apartment,4.0,2121.204344779785,1903.5821643286572
GORENJA VAS-POLJANE,apartment,1.0,2879.3507350901523,2879.3507350901523
GORJE,apartment,2.0,1189.342235272445,1189.342235272445
GORNJA RADGONA,apartment,28.0,1537.3279247110888,1513.8376383763837
GORNJI GRAD,apartment,1.0,1289.4214876033059,1289.4214876033059
GORNJI PETROVCI,apartment,1.0,903.2258064516128,903.2258064516128
GROSUPLJE,apartment,37.0,3224.0604698264124,2994.652406417112
HAJDINA,apartment,1.0,729.9107142857142,729.9107142857142
HOČE-SLIVNICA,apartment,12.0,2622.629240343669,2842.585013389925
HOČE-SLIVNICA,house,1.0,2302.119834024896,2302.119834024896
HRASTNIK,apartment,50.0,1316.9864376145752,1456.2212414311205
HRPELJE-KOZINA,apartment,2.0,3891.774193548387,3891.774193548387
IDRIJA,apartment,36.0,1680.3165929765564,1754.101161995899
IG,apartment,7.0,3832.255931474316,3984.4961240310076
ILIRSKA BISTRICA,apartment,10.0,1557.6172686555867,1608.8867926632809
ILIRSKA BISTRICA,house,1.0,324.54361054766736,324.54361054766736
IVANČNA GORICA,apartment,10.0,3684.9111135674375,3270.0465104923273
IVANČNA GORICA,house,6.0,3568.926123054218,3882.5540522146293
IZOLA,apartment,76.0,4826.1890330578435,4779.8900051017545
JESENICE,apartment,112.0,2610.885634594918,2676.867891513561
JEZERSKO,apartment,2.0,1346.291554832029,1346.291554832029
KAMNIK,apartment,83.0,3727.592544965263,3840.0
KANAL,apartment,5.0,2064.246804560723,2072.9366602687137
KIDRIČEVO,apartment,8.0,1807.0490288942444,1869.3467336683416
